epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,303.027,0.57225,0.34957,0.82193,0.99697,0.99923,0.995,0.86881,0.62168,0.34016,0.82118,0.00183426,0.00183426,0.00183426
151,304.897,0.58268,0.32369,0.84432,0.99146,0.99848,0.995,0.87398,0.60657,0.3272,0.81901,0.00183324,0.00183324,0.00183324
152,306.757,0.52869,0.32383,0.82103,0.9849,0.99835,0.995,0.8773,0.60737,0.32981,0.82037,0.00183222,0.00183222,0.00183222
153,308.615,0.48982,0.31631,0.79488,0.99361,0.96456,0.9935,0.87483,0.61564,0.34896,0.82267,0.00183121,0.00183121,0.00183121
154,310.475,0.54259,0.34642,0.82352,0.99005,0.98064,0.9935,0.87522,0.63363,0.35905,0.8226,0.0018301,0.0018301,0.0018301
155,312.33,0.52012,0.33947,0.80555,0.99701,0.98148,0.9935,0.86697,0.63282,0.36001,0.82037,0.00182908,0.00182908,0.00182908
156,314.179,0.51035,0.33545,0.80655,0.99798,0.98148,0.99306,0.86582,0.62566,0.36109,0.8202,0.00182807,0.00182807,0.00182807
157,316.036,0.5168,0.32951,0.83542,0.99661,0.98148,0.9935,0.86121,0.62698,0.35154,0.823,0.00182705,0.00182705,0.00182705
158,317.886,0.50087,0.31435,0.82683,0.99433,0.98148,0.9935,0.8528,0.64122,0.35794,0.82554,0.00182604,0.00182604,0.00182604
159,319.723,0.52797,0.33822,0.80761,0.99835,0.99175,0.995,0.86014,0.63141,0.35645,0.82169,0.00182503,0.00182503,0.00182503
160,321.583,0.55448,0.33553,0.83053,0.99816,0.99365,0.995,0.85996,0.61723,0.35976,0.81929,0.00182402,0.00182402,0.00182402
161,323.473,0.5294,0.32518,0.81713,0.99476,0.99793,0.995,0.86406,0.5962,0.35365,0.8173,0.00182302,0.00182302,0.00182302
162,325.341,0.5283,0.36362,0.80352,0.99254,0.99796,0.995,0.86865,0.59931,0.34279,0.81777,0.00182191,0.00182191,0.00182191
163,327.212,0.53122,0.32883,0.82579,0.98898,0.99826,0.995,0.8609,0.6249,0.34508,0.82118,0.0018209,0.0018209,0.0018209
164,329.074,0.51611,0.33315,0.80453,0.99849,0.98778,0.995,0.87127,0.622,0.34272,0.82407,0.0018199,0.0018199,0.0018199
165,330.928,0.54612,0.33191,0.84034,0.99858,0.98671,0.995,0.87306,0.61909,0.35013,0.82454,0.0018189,0.0018189,0.0018189
166,332.813,0.52564,0.32466,0.8183,0.99659,0.98645,0.995,0.87498,0.61697,0.35984,0.82192,0.00181789,0.00181789,0.00181789
167,334.672,0.549,0.34455,0.82235,0.99764,0.98148,0.99446,0.87113,0.62441,0.36662,0.82055,0.00181679,0.00181679,0.00181679
